comm,loans,bad,bad_rate,members
326,70,0,0.0,131
325,37,0,0.0,76
324,4,0,0.0,8
323,1,0,0.0,3
322,1,0,0.0,2
319,2,0,0.0,6
317,4,0,0.0,6
315,3,0,0.0,7
314,1,0,0.0,3
301,1,0,0.0,3
311,2,0,0.0,6
310,2,0,0.0,3
309,7,0,0.0,12
308,2,0,0.0,3
307,1,0,0.0,4
306,3,0,0.0,7
305,1,0,0.0,3
304,71,0,0.0,151
303,1,0,0.0,3
302,3,0,0.0,6
312,2,0,0.0,5
68,3,0,0.0,8
67,2,0,0.0,5
66,1,0,0.0,4
64,12,0,0.0,24
63,5,0,0.0,9
62,7,0,0.0,16
60,18,0,0.0,37
59,1,0,0.0,3
57,5,0,0.0,9
184,1,0,0.0,3
55,2,0,0.0,7
54,14,0,0.0,28
52,12,0,0.0,22
51,3,0,0.0,6
49,47,0,0.0,85
48,1,0,0.0,3
47,4,0,0.0,11
46,9,0,0.0,19
45,2,0,0.0,4
56,3,0,0.0,7
92,1,0,0.0,3
91,2,0,0.0,5
90,4,0,0.0,5
89,7,0,0.0,11
88,5,0,0.0,10
87,4,0,0.0,11
86,1,0,0.0,3
85,1,0,0.0,3
84,6,0,0.0,15
69,1,0,0.0,3
82,6,0,0.0,8
80,1,0,0.0,4
79,4,0,0.0,10
78,1,0,0.0,2
77,1,0,0.0,4
76,1,0,0.0,2
74,1,0,0.0,4
71,1,0,0.0,2
70,10,0,0.0,21
83,1,0,0.0,3
1363,1,0,0.0,4
1362,1,0,0.0,1
1361,3,0,0.0,8
1360,8,0,0.0,19
1359,1,0,0.0,4
1358,8,0,0.0,14
1357,13,0,0.0,23
1356,2,0,0.0,7
1355,1,0,0.0,4
44,50,0,0.0,107
1353,1,0,0.0,4
1352,4,0,0.0,10
1351,1,0,0.0,3
1349,1,0,0.0,4
1350,1,0,0.0,4
21,26,0,0.0,55
1334,3,0,0.0,8
5,1,0,0.0,3
4,1,0,0.0,2
1354,5,0,0.0,11
43,20,0,0.0,31
42,1,0,0.0,3
41,88,0,0.0,171
40,1,0,0.0,3
39,12,0,0.0,21
38,2,0,0.0,6
35,1,0,0.0,4
34,80,0,0.0,162
33,33,0,0.0,64
1364,1,0,0.0,3
31,1,0,0.0,3
30,16,0,0.0,33
29,5,0,0.0,9
26,8,0,0.0,16
25,1,0,0.0,3
24,1,0,0.0,3
23,4,0,0.0,6
22,6,0,0.0,11
1365,1,0,0.0,3
32,2,0,0.0,3
159,3,0,0.0,4
158,5,0,0.0,11
157,3,0,0.0,6
156,9,0,0.0,17
155,2,0,0.0,4
154,5,0,0.0,10
153,1,0,0.0,4
152,1,0,0.0,4
151,2,0,0.0,4
93,1,0,0.0,3
149,48,0,0.0,97
148,2,0,0.0,4
147,1,0,0.0,3
145,9,0,0.0,16
144,1,0,0.0,4
143,5,0,0.0,9
142,8,0,0.0,11
140,8,0,0.0,10
139,9,0,0.0,14
150,3,0,0.0,7
183,4,0,0.0,9
182,1,0,0.0,3
181,5,0,0.0,12
180,2,0,0.0,4
179,3,0,0.0,6
178,16,0,0.0,25
176,1,0,0.0,4
175,13,0,0.0,29
173,3,0,0.0,5
161,3,0,0.0,7
171,7,0,0.0,15
170,2,0,0.0,6
169,1,0,0.0,4
168,5,0,0.0,12
167,1,0,0.0,3
166,2,0,0.0,5
165,5,0,0.0,11
164,1,0,0.0,4
162,6,0,0.0,13
172,1,0,0.0,3
114,14,0,0.0,28
113,1,0,0.0,3
112,5,0,0.0,13
111,4,0,0.0,9
110,1,0,0.0,3
109,1,0,0.0,4
108,1,0,0.0,4
107,1,0,0.0,3
105,2,0,0.0,4
138,1,0,0.0,3
103,1,0,0.0,3
102,4,0,0.0,10
100,2,0,0.0,6
99,27,0,0.0,54
98,1,0,0.0,3
97,6,0,0.0,9
96,1,0,0.0,3
95,7,0,0.0,17
94,1,0,0.0,4
104,3,0,0.0,5
137,2,0,0.0,5
136,4,0,0.0,7
135,2,0,0.0,5
133,1,0,0.0,4
132,1,0,0.0,3
131,2,0,0.0,4
130,1,0,0.0,4
129,1,0,0.0,3
128,1,0,0.0,3
115,14,0,0.0,28
126,3,0,0.0,5
125,1,0,0.0,4
124,1,0,0.0,3
122,8,0,0.0,13
121,1,0,0.0,3
120,8,0,0.0,15
119,1,0,0.0,3
118,3,0,0.0,4
117,1,0,0.0,2
116,1,0,0.0,4
127,7,0,0.0,11
612,1,0,0.0,3
611,3,0,0.0,5
610,3,0,0.0,5
609,18,0,0.0,32
608,1,0,0.0,3
606,2,0,0.0,5
605,4,0,0.0,10
604,4,0,0.0,10
603,1,0,0.0,4
368,10,0,0.0,18
601,7,0,0.0,10
600,1,0,0.0,3
599,3,0,0.0,8
598,2,0,0.0,5
597,1,0,0.0,4
596,2,0,0.0,4
